"speciesScientificName","type","projectID","ForStrat.Value","diet.breadth","BodyMass.Value","Activity.Nocturnal","Activity.Diurnal","X15.1_LitterSize","X10.1_PopulationGrpSize","X10.2_SocialGrpSize","IUCN_frq","IUCN_year","realm","elevation","NPP","ave_temp","Tree_mean","sampling_effort_t"
"Lynx rufus","C","EMML_NCSU","G",1,8904.1,1,0,2.76,-999,-999,"4","2016","Nearctic",77.75,1356.87,15.24,16.41,1466
"Ondatra zibethicus","C","EMML_NCSU","G",2,1065.75,1,0,6.55,-999,-999,"3","2016","Nearctic",77.75,1356.87,15.24,16.41,1466
"Neovison vison","C","EMML_NCSU","G",4,1150,1,0,-999,-999,-999,"3","2016","Nearctic",77.75,1356.87,15.24,16.41,1466
"Ammospermophilus harrisii","A","EMML_OPRI","G",5,122,0,1,6.32,-999,-999,"3","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Neotoma albigula","A","EMML_OPRI","G",3,206.03,1,0,2.14,-999,1,"3","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Spilogale gracilis","A","EMML_OPRI","G",3,466.5,1,0,-999,-999,-999,"2","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Dipodomys merriami","A","EMML_OPRI","G",4,42,1,0,2.39,-999,-999,"1","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Dipodomys deserti","A","EMML_OPRI","G",4,104.5,1,0,3.36,-999,-999,"3","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Canis latrans","B","EMML_OPRI","G",3,13406.33,1,0,5.72,-999,-999,"4","2018","Nearctic",185.37,708.84,21.45,1.8,4869
"Vulpes macrotis","B","EMML_OPRI","G",3,4499.97,1,0,4.5,-999,-999,"4","2014","Nearctic",185.37,708.84,21.45,1.8,4869
"Taxidea taxus","B","EMML_OPRI","G",3,7107.55,1,0,2.76,-999,-999,"3","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Lepus californicus","B","EMML_OPRI","G",1,2422.48,1,0,2.68,-999,-999,"3","2019","Nearctic",185.37,708.84,21.45,1.8,4869
"Antilocapra americana","B","EMML_OPRI","G",1,46082.92,1,1,1.93,1000,12,"3","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Sylvilagus audubonii","B","EMML_OPRI","G",1,889.63,1,0,3,-999,-999,"3","2019","Nearctic",185.37,708.84,21.45,1.8,4869
"Lepus alleni","B","EMML_OPRI","G",1,3685.02,1,0,1.96,-999,-999,"3","2019","Nearctic",185.37,708.84,21.45,1.8,4869
"Urocyon cinereoargenteus","B","EMML_OPRI","G",5,3833.72,1,0,3.71,-999,-999,"4","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Odocoileus hemionus","B","EMML_OPRI","G",2,54212.57,1,0,1.61,-999,-999,"3","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Lynx rufus","B","EMML_OPRI","G",1,8904.1,1,0,2.76,-999,-999,"4","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Pecari tajacu","B","EMML_OPRI","G",4,21266.69,1,0,1.56,11.65,20,"3","2011","Nearctic",185.37,708.84,21.45,1.8,4869
"Odocoileus virginianus","B","EMML_OPRI","G",2,55508.56,1,0,1.57,-999,2.25,"3","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Mephitis mephitis","B","EMML_OPRI","G",5,2085.02,1,0,5.7,-999,-999,"3","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Nasua narica","C","EMML_OPRI","S",3,4030.05,0,1,4,-999,-999,"3","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Mephitis macroura","C","EMML_OPRI","G",5,801.25,1,1,4.68,-999,-999,"3","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Ovis canadensis","C","EMML_OPRI","G",1,74644.88,1,1,1.16,5.5,5.5,"3","2020","Nearctic",185.37,708.84,21.45,1.8,4869
"Procyon lotor","C","EMML_OPRI","G",4,5524.97,1,0,3.06,-999,-999,"3","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Bassariscus astutus","C","EMML_OPRI","G",3,1129.51,1,0,3,-999,-999,"3","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Erethizon dorsatum","C","EMML_OPRI","S",3,7085.33,1,0,1,-999,1,"3","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Sylvilagus floridanus","C","EMML_OPRI","G",1,1172.79,1,0,4.62,-999,-999,"3","2019","Nearctic",185.37,708.84,21.45,1.8,4869
"Puma concolor","C","EMML_OPRI","G",1,51600.04,1,1,2.76,-999,1,"4","2015","Nearctic",185.37,708.84,21.45,1.8,4869
"Castor canadensis","C","EMML_OPRI","G",1,21820,1,0,3.6,-999,5.1,"5","2016","Nearctic",185.37,708.84,21.45,1.8,4869
"Lontra canadensis","C","EMML_OPRI","G",2,8087.42,1,0,2.67,-999,-999,"4","2015","Nearctic",185.37,708.84,21.45,1.8,4869
"Philander andersoni","A","EMML_PA","S",5,325,1,1,-999,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Metachirus nudicaudatus","A","EMML_PA","S",5,375,1,0,3.87,-999,1,"4","2015",NA,NA,NA,NA,NA,NA
"Puma concolor","A","EMML_PA","G",1,51600.04,1,1,2.76,-999,1,"4","2015",NA,NA,NA,NA,NA,NA
"Cebus albifrons","A","EMML_PA","Ar",6,2629,0,1,1.01,-999,25,"6","2020",NA,NA,NA,NA,NA,NA
"Dasyprocta fuliginosa","B","EMML_PA","G",3,3500.02,0,1,-999,-999,2,"3","2016",NA,NA,NA,NA,NA,NA
"Didelphis marsupialis","B","EMML_PA","S",4,1091.16,1,0,7.09,-999,1,"4","2021",NA,NA,NA,NA,NA,NA
"Speothos venaticus","B","EMML_PA","G",1,5999.98,0,1,3.8,-999,-999,"9","2011",NA,NA,NA,NA,NA,NA
"Pecari tajacu","B","EMML_PA","G",4,21266.69,1,0,1.56,11.65,20,"3","2011",NA,NA,NA,NA,NA,NA
"Myrmecophaga tridactyla","B","EMML_PA","G",1,22333.15,1,1,1,1,1,"10","2014",NA,NA,NA,NA,NA,NA
"Priodontes maximus","B","EMML_PA","G",2,45359.68,1,0,1.5,-999,1,"11","2014",NA,NA,NA,NA,NA,NA
"Galictis vittata","B","EMML_PA","G",5,3200,1,1,-999,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Panthera onca","B","EMML_PA","G",3,1e+05,1,1,1.96,1,1,"8","2017",NA,NA,NA,NA,NA,NA
"Tapirus terrestris","B","EMML_PA","G",1,207500.91,1,0,1,-999,1,"4","2019",NA,NA,NA,NA,NA,NA
"Leopardus wiedii","B","EMML_PA","S",2,3249.97,1,0,1.5,-999,-999,"9","2015",NA,NA,NA,NA,NA,NA
"Leopardus pardalis","B","EMML_PA","G",3,11900.08,1,0,1.66,-999,-999,"8","2015",NA,NA,NA,NA,NA,NA
"Mazama americana","B","EMML_PA","G",2,22799.75,1,1,1.22,-999,1,"4","2016",NA,NA,NA,NA,NA,NA
"Atelocynus microtis","B","EMML_PA","G",2,7749.97,1,0,-999,-999,1,"8","2011",NA,NA,NA,NA,NA,NA
"Nasua nasua","B","EMML_PA","S",3,3793.85,0,1,3.69,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Tamandua tetradactyla","B","EMML_PA","S",1,5515.06,1,1,1,-999,1,"5","2014",NA,NA,NA,NA,NA,NA
"Cuniculus paca","B","EMML_PA","G",3,8172.55,1,0,1.01,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Eira barbara","B","EMML_PA","G",2,3910.03,1,1,2.14,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Tayassu pecari","B","EMML_PA","G",5,32233.69,1,0,2,102.5,102.5,"3","2013",NA,NA,NA,NA,NA,NA
"Coendou prehensilis","C","EMML_PA","Ar",2,4399.97,1,0,0.98,-999,1,"1","2016",NA,NA,NA,NA,NA,NA
"Myoprocta pratti","C","EMML_PA","G",3,966.73,0,1,1.77,-999,-999,"2","2016",NA,NA,NA,NA,NA,NA
"Echimys saturnus","C","EMML_PA","Ar",2,626.9,1,0,-999,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Mustela africana","C","EMML_PA","G",2,536.99,1,1,-999,-999,-999,"4","2016",NA,NA,NA,NA,NA,NA
"Alouatta seniculus","C","EMML_PA","Ar",2,6145.54,0,1,1.42,-999,7.9,"5","2020",NA,NA,NA,NA,NA,NA
"Sciurus igniventris","C","EMML_PA","Ar",3,700,0,1,-999,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Leopardus tigrinus","C","EMML_PA","S",1,2250,1,1,-999,-999,-999,"1","2016",NA,NA,NA,NA,NA,NA
"Choloepus didactylus","C","EMML_PA","Ar",2,5160,1,0,1,-999,1,"5","2014",NA,NA,NA,NA,NA,NA
"Bradypus variegatus","C","EMML_PA","Ar",1,4335.01,1,1,1,-999,1,"5","2014",NA,NA,NA,NA,NA,NA
"Cabassous unicinctus","C","EMML_PA","G",1,4799.99,1,0,1,-999,1,"5","2014",NA,NA,NA,NA,NA,NA
"Ateles belzebuth","C","EMML_PA","Ar",5,5000,0,1,1.02,-999,14.5,"10","2019",NA,NA,NA,NA,NA,NA
"Potos flavus","C","EMML_PA","Ar",3,3000,1,0,1.11,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Dasypus novemcinctus","C","EMML_PA","G",1,4203.78,1,0,3.96,-999,1,"5","2014",NA,NA,NA,NA,NA,NA
"Dasypus kappleri","C","EMML_PA","G",1,9500,1,0,4.47,-999,1,"5","2014",NA,NA,NA,NA,NA,NA
"Bassaricyon alleni","C","EMML_PA","Ar",3,1235.01,1,0,-999,-999,-999,"1","2016",NA,NA,NA,NA,NA,NA
"Aotus vociferans","C","EMML_PA","Ar",6,872.99,1,0,1.02,-999,3.3,"5","2021",NA,NA,NA,NA,NA,NA
"Dactylomys dactylinus","C","EMML_PA","Ar",1,649.99,1,0,-999,-999,2,"3","2016",NA,NA,NA,NA,NA,NA
"Coendou bicolor","C","EMML_PA","Ar",2,4050.05,1,0,1,-999,2,"3","2016",NA,NA,NA,NA,NA,NA
"Dinomys branickii","C","EMML_PA","G",2,12500,1,0,1.97,-999,-999,"5","2017",NA,NA,NA,NA,NA,NA
"Chironectes minimus","C","EMML_PA","G",3,946,1,0,3.24,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Hydrochoerus hydrochaeris","C","EMML_PA","G",2,48144.91,0,1,3.49,-999,10,"3","2016",NA,NA,NA,NA,NA,NA
"Lontra longicaudis","C","EMML_PA","G",3,6554.96,1,0,3.69,-999,-999,"10","2015",NA,NA,NA,NA,NA,NA
"Pteronura brasiliensis","C","EMML_PA","G",2,23999.93,0,1,2.12,-999,-999,"11","2015",NA,NA,NA,NA,NA,NA
"Procyon cancrivorus","C","EMML_PA","G",5,6949.92,1,0,2.62,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Glaucomys volans","A","EMML_PRP","Ar",3,63.87,1,0,3.13,-999,-999,"3","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Tamias striatus","A","EMML_PRP","G",4,111.91,0,1,-999,-999,-999,"3","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Odocoileus virginianus","B","EMML_PRP","G",2,55508.56,1,0,1.57,-999,2.25,"3","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Urocyon cinereoargenteus","B","EMML_PRP","G",5,3833.72,1,0,3.71,-999,-999,"4","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Canis latrans","B","EMML_PRP","G",3,13406.33,1,0,5.72,-999,-999,"4","2018","Nearctic",112.38,1988.36,15.56,13.84,7165
"Procyon lotor","B","EMML_PRP","G",4,5524.97,1,0,3.06,-999,-999,"3","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Sylvilagus floridanus","B","EMML_PRP","G",1,1172.79,1,0,4.62,-999,-999,"3","2019","Nearctic",112.38,1988.36,15.56,13.84,7165
"Didelphis virginiana","B","EMML_PRP","S",4,2195.48,1,0,8.62,-999,1,"3","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Sciurus carolinensis","B","EMML_PRP","Ar",3,506.5,0,1,2.98,-999,1,"4","2018","Nearctic",112.38,1988.36,15.56,13.84,7165
"Vulpes vulpes","B","EMML_PRP","G",3,5476.17,1,0,4.59,-999,-999,"5","2021","Nearctic",112.38,1988.36,15.56,13.84,7165
"Marmota monax","B","EMML_PRP","G",3,3801.72,0,1,4.1,-999,1,"3","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Lynx rufus","B","EMML_PRP","G",1,8904.1,1,0,2.76,-999,-999,"4","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Lontra canadensis","B","EMML_PRP","G",2,8087.42,1,0,2.67,-999,-999,"4","2015","Nearctic",112.38,1988.36,15.56,13.84,7165
"Ursus americanus","C","EMML_PRP","G",4,99949.36,1,0,2.39,-999,-999,"3","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Sylvilagus palustris","C","EMML_PRP","G",1,1500,1,0,2.96,-999,-999,"3","2019","Nearctic",112.38,1988.36,15.56,13.84,7165
"Sciurus niger","C","EMML_PRP","Ar",3,761.9,0,1,-999,-999,-999,"4","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Mephitis mephitis","C","EMML_PRP","G",5,2085.02,1,0,5.7,-999,-999,"3","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Castor canadensis","C","EMML_PRP","G",1,21820,1,0,3.6,-999,5.1,"5","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Ondatra zibethicus","C","EMML_PRP","G",2,1065.75,1,0,6.55,-999,-999,"3","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Neovison vison","C","EMML_PRP","G",4,1150,1,0,-999,-999,-999,"3","2016","Nearctic",112.38,1988.36,15.56,13.84,7165
"Tamias striatus","A","EMML_RBS","G",4,111.91,0,1,-999,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Procyon lotor","B","EMML_RBS","G",4,5524.97,1,0,3.06,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Vulpes vulpes","B","EMML_RBS","G",3,5476.17,1,0,4.59,-999,-999,"5","2021",NA,NA,NA,NA,NA,NA
"Sciurus carolinensis","B","EMML_RBS","Ar",3,506.5,0,1,2.98,-999,1,"4","2018",NA,NA,NA,NA,NA,NA
"Didelphis virginiana","B","EMML_RBS","S",4,2195.48,1,0,8.62,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Odocoileus virginianus","B","EMML_RBS","G",2,55508.56,1,0,1.57,-999,2.25,"3","2016",NA,NA,NA,NA,NA,NA
"Sylvilagus floridanus","B","EMML_RBS","G",1,1172.79,1,0,4.62,-999,-999,"3","2019",NA,NA,NA,NA,NA,NA
"Urocyon cinereoargenteus","B","EMML_RBS","G",5,3833.72,1,0,3.71,-999,-999,"4","2016",NA,NA,NA,NA,NA,NA
"Canis latrans","B","EMML_RBS","G",3,13406.33,1,0,5.72,-999,-999,"4","2018",NA,NA,NA,NA,NA,NA
"Marmota monax","B","EMML_RBS","G",3,3801.72,0,1,4.1,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Sylvilagus palustris","C","EMML_RBS","G",1,1500,1,0,2.96,-999,-999,"3","2019",NA,NA,NA,NA,NA,NA
"Sciurus niger","C","EMML_RBS","Ar",3,761.9,0,1,-999,-999,-999,"4","2016",NA,NA,NA,NA,NA,NA
"Lynx rufus","C","EMML_RBS","G",1,8904.1,1,0,2.76,-999,-999,"4","2016",NA,NA,NA,NA,NA,NA
"Mephitis mephitis","C","EMML_RBS","G",5,2085.02,1,0,5.7,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Castor canadensis","C","EMML_RBS","G",1,21820,1,0,3.6,-999,5.1,"5","2016",NA,NA,NA,NA,NA,NA
"Lontra canadensis","C","EMML_RBS","G",2,8087.42,1,0,2.67,-999,-999,"4","2015",NA,NA,NA,NA,NA,NA
"Ondatra zibethicus","C","EMML_RBS","G",2,1065.75,1,0,6.55,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Neovison vison","C","EMML_RBS","G",4,1150,1,0,-999,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Tamias striatus","A","EMML_REMA","G",4,111.91,0,1,-999,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Neotoma floridana","A","EMML_REMA","G",3,244.75,1,0,3.11,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Glaucomys volans","A","EMML_REMA","Ar",3,63.87,1,0,3.13,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Mustela frenata","A","EMML_REMA","G",1,147,1,1,6.5,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Spilogale putorius","A","EMML_REMA","G",3,341,1,0,5.07,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Mustela nivalis","A","EMML_REMA","G",1,103.88,1,0,5.07,-999,-999,"1","2016",NA,NA,NA,NA,NA,NA
"Sus scrofa","A","EMML_REMA","G",5,96118.09,1,0,4.52,-999,13,"3","2019",NA,NA,NA,NA,NA,NA
"Vulpes vulpes","B","EMML_REMA","G",3,5476.17,1,0,4.59,-999,-999,"5","2021",NA,NA,NA,NA,NA,NA
"Odocoileus virginianus","B","EMML_REMA","G",2,55508.56,1,0,1.57,-999,2.25,"3","2016",NA,NA,NA,NA,NA,NA
"Sciurus carolinensis","B","EMML_REMA","Ar",3,506.5,0,1,2.98,-999,1,"4","2018",NA,NA,NA,NA,NA,NA
"Didelphis virginiana","B","EMML_REMA","S",4,2195.48,1,0,8.62,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Procyon lotor","B","EMML_REMA","G",4,5524.97,1,0,3.06,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Canis latrans","B","EMML_REMA","G",3,13406.33,1,0,5.72,-999,-999,"4","2018",NA,NA,NA,NA,NA,NA
"Sciurus niger","B","EMML_REMA","Ar",3,761.9,0,1,-999,-999,-999,"4","2016",NA,NA,NA,NA,NA,NA
"Marmota monax","B","EMML_REMA","G",3,3801.72,0,1,4.1,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Ursus americanus","B","EMML_REMA","G",4,99949.36,1,0,2.39,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Lynx rufus","B","EMML_REMA","G",1,8904.1,1,0,2.76,-999,-999,"4","2016",NA,NA,NA,NA,NA,NA
"Sylvilagus floridanus","B","EMML_REMA","G",1,1172.79,1,0,4.62,-999,-999,"3","2019",NA,NA,NA,NA,NA,NA
"Mephitis mephitis","B","EMML_REMA","G",5,2085.02,1,0,5.7,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Urocyon cinereoargenteus","B","EMML_REMA","G",5,3833.72,1,0,3.71,-999,-999,"4","2016",NA,NA,NA,NA,NA,NA
"Martes pennanti","B","EMML_REMA","S",2,4000,1,1,3.02,-999,-999,"4","2018",NA,NA,NA,NA,NA,NA
"Lontra canadensis","B","EMML_REMA","G",2,8087.42,1,0,2.67,-999,-999,"4","2015",NA,NA,NA,NA,NA,NA
"Sylvilagus palustris","C","EMML_REMA","G",1,1500,1,0,2.96,-999,-999,"3","2019",NA,NA,NA,NA,NA,NA
"Sylvilagus aquaticus","C","EMML_REMA","G",1,2135.8,1,0,3,-999,-999,"3","2019",NA,NA,NA,NA,NA,NA
"Dasypus novemcinctus","C","EMML_REMA","G",1,4203.78,1,0,3.96,-999,1,"5","2014",NA,NA,NA,NA,NA,NA
"Lepus americanus","C","EMML_REMA","G",1,1710.02,1,0,3.54,-999,-999,"3","2019",NA,NA,NA,NA,NA,NA
"Sylvilagus obscurus","C","EMML_REMA","G",1,1218.45,1,0,-999,-999,-999,"3","2019",NA,NA,NA,NA,NA,NA
"Erethizon dorsatum","C","EMML_REMA","S",3,7085.33,1,0,1,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Castor canadensis","C","EMML_REMA","G",1,21820,1,0,3.6,-999,5.1,"5","2016",NA,NA,NA,NA,NA,NA
"Ondatra zibethicus","C","EMML_REMA","G",2,1065.75,1,0,6.55,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Neovison vison","C","EMML_REMA","G",4,1150,1,0,-999,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Vulpes vulpes","B","EMML_REMA","G",3,5476.17,1,0,4.59,-999,-999,"5","2021",NA,NA,NA,NA,NA,NA
"Odocoileus virginianus","B","EMML_REMA","G",2,55508.56,1,0,1.57,-999,2.25,"3","2016",NA,NA,NA,NA,NA,NA
"Sciurus carolinensis","B","EMML_REMA","Ar",3,506.5,0,1,2.98,-999,1,"4","2018",NA,NA,NA,NA,NA,NA
"Didelphis virginiana","B","EMML_REMA","S",4,2195.48,1,0,8.62,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Procyon lotor","B","EMML_REMA","G",4,5524.97,1,0,3.06,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Canis latrans","B","EMML_REMA","G",3,13406.33,1,0,5.72,-999,-999,"4","2018",NA,NA,NA,NA,NA,NA
"Sciurus niger","B","EMML_REMA","Ar",3,761.9,0,1,-999,-999,-999,"4","2016",NA,NA,NA,NA,NA,NA
"Marmota monax","B","EMML_REMA","G",3,3801.72,0,1,4.1,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Ursus americanus","B","EMML_REMA","G",4,99949.36,1,0,2.39,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Lynx rufus","B","EMML_REMA","G",1,8904.1,1,0,2.76,-999,-999,"4","2016",NA,NA,NA,NA,NA,NA
"Sylvilagus floridanus","B","EMML_REMA","G",1,1172.79,1,0,4.62,-999,-999,"3","2019",NA,NA,NA,NA,NA,NA
"Mephitis mephitis","B","EMML_REMA","G",5,2085.02,1,0,5.7,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Urocyon cinereoargenteus","B","EMML_REMA","G",5,3833.72,1,0,3.71,-999,-999,"4","2016",NA,NA,NA,NA,NA,NA
"Martes pennanti","B","EMML_REMA","S",2,4000,1,1,3.02,-999,-999,"4","2018",NA,NA,NA,NA,NA,NA
"Lontra canadensis","B","EMML_REMA","G",2,8087.42,1,0,2.67,-999,-999,"4","2015",NA,NA,NA,NA,NA,NA
"Sylvilagus palustris","C","EMML_RLWK","G",1,1500,1,0,2.96,-999,-999,"3","2019",NA,NA,NA,NA,NA,NA
"Sciurus niger","C","EMML_RLWK","Ar",3,761.9,0,1,-999,-999,-999,"4","2016",NA,NA,NA,NA,NA,NA
"Lynx rufus","C","EMML_RLWK","G",1,8904.1,1,0,2.76,-999,-999,"4","2016",NA,NA,NA,NA,NA,NA
"Marmota monax","C","EMML_RLWK","G",3,3801.72,0,1,4.1,-999,1,"3","2016",NA,NA,NA,NA,NA,NA
"Mephitis mephitis","C","EMML_RLWK","G",5,2085.02,1,0,5.7,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Lontra canadensis","C","EMML_RLWK","G",2,8087.42,1,0,2.67,-999,-999,"4","2015",NA,NA,NA,NA,NA,NA
"Ondatra zibethicus","C","EMML_RLWK","G",2,1065.75,1,0,6.55,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Neovison vison","C","EMML_RLWK","G",4,1150,1,0,-999,-999,-999,"3","2016",NA,NA,NA,NA,NA,NA
"Glaucomys volans","A","EMML_SCBIF","Ar",3,63.87,1,0,3.13,-999,-999,"3","2016","Nearctic",121,2978.2,11.6,21,654
"Tamias striatus","A","EMML_SCBIF","G",4,111.91,0,1,-999,-999,-999,"3","2016","Nearctic",121,2978.2,11.6,21,654
"Odocoileus virginianus","B","EMML_SCBIF","G",2,55508.56,1,0,1.57,-999,2.25,"3","2016","Nearctic",121,2978.2,11.6,21,654
"Sciurus carolinensis","B","EMML_SCBIF","Ar",3,506.5,0,1,2.98,-999,1,"4","2018","Nearctic",121,2978.2,11.6,21,654
"Procyon lotor","B","EMML_SCBIF","G",4,5524.97,1,0,3.06,-999,-999,"3","2016","Nearctic",121,2978.2,11.6,21,654
"Didelphis virginiana","B","EMML_SCBIF","S",4,2195.48,1,0,8.62,-999,1,"3","2016","Nearctic",121,2978.2,11.6,21,654
"Vulpes vulpes","B","EMML_SCBIF","G",3,5476.17,1,0,4.59,-999,-999,"5","2021","Nearctic",121,2978.2,11.6,21,654
"Lynx rufus","B","EMML_SCBIF","G",1,8904.1,1,0,2.76,-999,-999,"4","2016","Nearctic",121,2978.2,11.6,21,654
"Sylvilagus floridanus","B","EMML_SCBIF","G",1,1172.79,1,0,4.62,-999,-999,"3","2019","Nearctic",121,2978.2,11.6,21,654
"Sciurus niger","B","EMML_SCBIF","Ar",3,761.9,0,1,-999,-999,-999,"4","2016","Nearctic",121,2978.2,11.6,21,654
"Ursus americanus","B","EMML_SCBIF","G",4,99949.36,1,0,2.39,-999,-999,"3","2016","Nearctic",121,2978.2,11.6,21,654
"Neovison vison","B","EMML_SCBIF","G",4,1150,1,0,-999,-999,-999,"3","2016","Nearctic",121,2978.2,11.6,21,654
"Canis latrans","B","EMML_SCBIF","G",3,13406.33,1,0,5.72,-999,-999,"4","2018","Nearctic",121,2978.2,11.6,21,654
"Urocyon cinereoargenteus","B","EMML_SCBIF","G",5,3833.72,1,0,3.71,-999,-999,"4","2016","Nearctic",121,2978.2,11.6,21,654
"Lepus americanus","C","EMML_SCBIF","G",1,1710.02,1,0,3.54,-999,-999,"3","2019","Nearctic",121,2978.2,11.6,21,654
"Marmota monax","C","EMML_SCBIF","G",3,3801.72,0,1,4.1,-999,1,"3","2016","Nearctic",121,2978.2,11.6,21,654
"Mephitis mephitis","C","EMML_SCBIF","G",5,2085.02,1,0,5.7,-999,-999,"3","2016","Nearctic",121,2978.2,11.6,21,654
"Castor canadensis","C","EMML_SCBIF","G",1,21820,1,0,3.6,-999,5.1,"5","2016","Nearctic",121,2978.2,11.6,21,654
"Lontra canadensis","C","EMML_SCBIF","G",2,8087.42,1,0,2.67,-999,-999,"4","2015","Nearctic",121,2978.2,11.6,21,654
"Ondatra zibethicus","C","EMML_SCBIF","G",2,1065.75,1,0,6.55,-999,-999,"3","2016","Nearctic",121,2978.2,11.6,21,654
"Oryx beisa","A","EMML_SDK","G",1,200576.52,1,1,-999,40,40,"3","2018","Afrotropical",205.5,1262.56,18.1,7.43,820
"Helogale parvula","A","EMML_SDK","G",3,300,0,1,3.49,-999,-999,"3","2015","Afrotropical",205.5,1262.56,18.1,7.43,820
"Hystrix cristata","A","EMML_SDK","G",2,16250,1,0,1.73,-999,-999,"4","2016","Afrotropical",205.5,1262.56,18.1,7.43,820
"Giraffa camelopardalis","A","EMML_SDK","G",1,899994.8,1,0,1.29,-999,100,"5","2018","Afrotropical",205.5,1262.56,18.1,7.43,820
"Hippopotamus amphibius","A","EMML_SDK","G",1,1417489.99,1,0,1,585,585,"4","2017","Afrotropical",205.5,1262.56,18.1,7.43,820
"Xerus erythropus","A","EMML_SDK","G",5,502.4,0,1,3.45,-999,-999,"4","2016","Afrotropical",205.5,1262.56,18.1,7.43,820
"Xerus rutilus","A","EMML_SDK","G",5,317.5,0,1,1.94,-999,-999,"4","2016","Afrotropical",205.5,1262.56,18.1,7.43,820
"Cephalophus silvicultor","A","EMML_SDK","G",3,72500.33,1,0,1,-999,1,"3","2016","Afrotropical",205.5,1262.56,18.1,7.43,820
"Orycteropus afer","B","EMML_SDK","G",1,52350.4,1,0,1.1,-999,1,"5","2015","Afrotropical",205.5,1262.56,18.1,7.43,820
"Syncerus caffer","B","EMML_SDK","G",1,580002.68,1,0,1.08,3000,12,"3","2019","Afrotropical",205.5,1262.56,18.1,7.43,820
